Total,Graduate or professional degree,id,Geographic Area Name
109872,8192,37001,"Alamance County, North Carolina"
26827,1198,37003,"Alexander County, North Carolina"
8421,584,37005,"Alleghany County, North Carolina"
18013,570,37007,"Anson County, North Carolina"
20356,1435,37009,"Ashe County, North Carolina"
13324,1130,37011,"Avery County, North Carolina"
34170,2757,37013,"Beaufort County, North Carolina"
14396,788,37015,"Bertie County, North Carolina"
23971,1107,37017,"Bladen County, North Carolina"
103981,11075,37019,"Brunswick County, North Carolina"
188700,28874,37021,"Buncombe County, North Carolina"
65220,3814,37023,"Burke County, North Carolina"
136888,15836,37025,"Cabarrus County, North Carolina"
59010,2985,37027,"Caldwell County, North Carolina"
7443,403,37029,"Camden County, North Carolina"
52213,6179,37031,"Carteret County, North Carolina"
16715,817,37033,"Caswell County, North Carolina"
109055,7839,37035,"Catawba County, North Carolina"
52207,10429,37037,"Chatham County, North Carolina"
21519,1738,37039,"Cherokee County, North Carolina"
10594,860,37041,"Chowan County, North Carolina"
8376,797,37043,"Clay County, North Carolina"
66846,4453,37045,"Cleveland County, North Carolina"
39404,1801,37047,"Columbus County, North Carolina"
67453,6169,37049,"Craven County, North Carolina"
205908,18085,37051,"Cumberland County, North Carolina"
18795,1042,37053,"Currituck County, North Carolina"
26948,3369,37055,"Dare County, North Carolina"
116199,6045,37057,"Davidson County, North Carolina"
30233,2728,37059,"Davie County, North Carolina"
39908,1615,37061,"Duplin County, North Carolina"
214293,49067,37063,"Durham County, North Carolina"
36334,1508,37065,"Edgecombe County, North Carolina"
251664,31865,37067,"Forsyth County, North Carolina"
46090,3002,37069,"Franklin County, North Carolina"
151556,9813,37071,"Gaston County, North Carolina"
8359,528,37073,"Gates County, North Carolina"
6079,299,37075,"Graham County, North Carolina"
41890,2953,37077,"Granville County, North Carolina"
14983,374,37079,"Greene County, North Carolina"
352041,45466,37081,"Guilford County, North Carolina"
36147,1715,37083,"Halifax County, North Carolina"
85559,6121,37085,"Harnett County, North Carolina"
45802,4838,37087,"Haywood County, North Carolina"
85499,9632,37089,"Henderson County, North Carolina"
16655,972,37091,"Hertford County, North Carolina"
34671,2024,37093,"Hoke County, North Carolina"
3812,64,37095,"Hyde County, North Carolina"
120685,10201,37097,"Iredell County, North Carolina"
27416,3841,37099,"Jackson County, North Carolina"
130829,8356,37101,"Johnston County, North Carolina"
7240,226,37103,"Jones County, North Carolina"
40732,2948,37105,"Lee County, North Carolina"
39614,1922,37107,"Lenoir County, North Carolina"
59037,4205,37109,"Lincoln County, North Carolina"
32857,1773,37111,"McDowell County, North Carolina"
26235,2054,37113,"Macon County, North Carolina"
15325,1741,37115,"Madison County, North Carolina"
16495,944,37117,"Martin County, North Carolina"
720922,112014,37119,"Mecklenburg County, North Carolina"
11102,723,37121,"Mitchell County, North Carolina"
18968,954,37123,"Montgomery County, North Carolina"
70123,9957,37125,"Moore County, North Carolina"
64801,4172,37127,"Nash County, North Carolina"
155923,21537,37129,"New Hanover County, North Carolina"
14993,770,37131,"Northampton County, North Carolina"
104678,7243,37133,"Onslow County, North Carolina"
90026,30542,37135,"Orange County, North Carolina"
9945,683,37137,"Pamlico County, North Carolina"
26924,2321,37139,"Pasquotank County, North Carolina"
42572,4319,37141,"Pender County, North Carolina"
10092,721,37143,"Perquimans County, North Carolina"
28080,1162,37145,"Person County, North Carolina"
108447,13255,37147,"Pitt County, North Carolina"
15889,1664,37149,"Polk County, North Carolina"
99108,4349,37151,"Randolph County, North Carolina"
30583,1621,37153,"Richmond County, North Carolina"
85549,3730,37155,"Robeson County, North Carolina"
65471,3114,37157,"Rockingham County, North Carolina"
96689,5210,37159,"Rowan County, North Carolina"
47869,2709,37161,"Rutherford County, North Carolina"
42530,1712,37163,"Sampson County, North Carolina"
23614,1337,37165,"Scotland County, North Carolina"
43135,2099,37167,"Stanly County, North Carolina"
33625,1186,37169,"Stokes County, North Carolina"
50935,2973,37171,"Surry County, North Carolina"
9793,629,37173,"Swain County, North Carolina"
25637,3362,37175,"Transylvania County, North Carolina"
3097,88,37177,"Tyrrell County, North Carolina"
147376,16583,37179,"Union County, North Carolina"
30062,1376,37181,"Vance County, North Carolina"
713060,141621,37183,"Wake County, North Carolina"
14550,622,37185,"Warren County, North Carolina"
8175,265,37187,"Washington County, North Carolina"
31752,5716,37189,"Watauga County, North Carolina"
82135,4944,37191,"Wayne County, North Carolina"
49300,2189,37193,"Wilkes County, North Carolina"
55504,3199,37195,"Wilson County, North Carolina"
26756,738,37197,"Yadkin County, North Carolina"
13205,1064,37199,"Yancey County, North Carolina"